56,03-01-01-003-001-000,URBANO,70015,, ,TRANSFERENCIA INICIAL, 06/11/2001
57,03-01-01-003-002-000,URBANO,30838,7594, ,TRASMISION PATRIMONIAL, 19/04/2006
58,03-01-01-003-003-000,URBANO,30839,, ,TRANSFERENCIA INICIAL, 06/11/2001
59,03-01-01-003-004-000,URBANO,91053,, ,TRANSFERENCIA INICIAL, 06/11/2001
60,03-01-01-003-005-000,URBANO,86988,, ,TRANSFERENCIA INICIAL, 06/11/2001
61,03-01-01-015-015-000,URBANO,64626,32724, 05/06/1995,TRASMISION PATRIMONIAL, 11/12/2019
62,03-01-01-015-016-000,URBANO,58953,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
63,03-01-01-015-017-000,URBANO,26640,, 05/06/1995,AVALUO CATASTRAL, 09/10/2023
64,03-01-01-015-018-000,URBANO,28197,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
65,03-01-01-015-019-000,URBANO,26651,, 05/06/1995,TRASMISION PATRIMONIAL, 18/02/2009
66,03-01-01-015-020-000,URBANO,29705,, 05/06/1995,TRASMISION PATRIMONIAL, 16/11/2006
67,03-01-01-015-021-000,URBANO,59544,27057-1, 22/02/2016,TRASMISION PATRIMONIAL, 04/01/2017
68,03-01-01-016-006-000,URBANO,,19982, 09/05/2001,MANIFESTACION, 19/04/2012
69,03-01-01-016-007-000,URBANO,,, ,TRANSFERENCIA INICIAL, 06/02/2002
70,03-01-01-017-001-000,URBANO,0,7661-1, 05/06/1995,TRASMISION PATRIMONIAL, 10/08/2020
71,03-01-01-017-002-000,URBANO,0,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
72,03-01-01-017-003-000,URBANO,0,7661, 05/06/1995,TRASMISION PATRIMONIAL, 31/10/2007
73,03-01-01-017-004-000,URBANO,38180,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
74,03-01-01-017-005-000,URBANO,59242,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
75,03-01-01-017-006-000,URBANO,59022,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
76,03-01-01-017-007-000,URBANO,68253,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
77,03-01-01-017-008-000,URBANO,67356,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
78,03-01-01-017-009-000,URBANO,59557,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
79,03-01-01-017-010-000,URBANO,115686,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
80,03-01-01-017-011-000,URBANO,39149,174126, 05/06/1995,SUBDIVISION DE PREDIOS, 29/08/2023
81,03-01-01-017-012-000,URBANO,60554,, 05/06/1995,TRASMISION PATRIMONIAL, 05/11/2004
82,03-01-01-017-013-000,URBANO,50882,, 05/06/1995,AVALUO CATASTRAL, 26/06/2023
83,03-01-01-017-014-000,URBANO,29706,18089, 05/06/1995,TRASMISION PATRIMONIAL, 14/12/2011
84,03-01-01-017-015-000,URBANO,19636,, 05/06/1995,AVALUO CATASTRAL, 20/02/2018
85,03-01-01-017-016-000,URBANO,19968,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
86,03-01-01-017-017-000,URBANO,40016,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
87,03-01-01-017-018-000,URBANO,26641,162931-1, 05/06/1995,TRASMISION PATRIMONIAL, 23/07/2009
88,03-01-01-017-019-000,URBANO,5615,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
89,03-01-01-017-020-000,URBANO,63564,, 05/06/1995,AVALUO CATASTRAL, 21/07/2016
90,03-01-01-017-021-000,URBANO,58750,, 05/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
91,03-01-01-017-022-000,URBANO,4480,, 05/06/1995,AVALUO CATASTRAL, 26/01/2022
92,03-01-01-017-024-000,URBANO,39149,174126, 29/08/2023,SUBDIVISION DE PREDIOS, 29/08/2023
93,03-01-01-017-025-000,URBANO,39149,174126, 29/08/2023,SUBDIVISION DE PREDIOS, 29/08/2023
94,03-01-01-017-026-000,URBANO,39149,174126, 29/08/2023,SUBDIVISION DE PREDIOS, 29/08/2023
95,03-01-01-018-001-000,URBANO,56821,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
96,03-01-01-018-002-000,URBANO,30557,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
97,03-01-01-018-003-000,URBANO,65538,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
98,03-01-01-018-004-000,URBANO,55992,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
99,03-01-01-018-005-000,URBANO,55989,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
100,03-01-01-018-006-000,URBANO,55991,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
101,03-01-01-018-007-000,URBANO,55990,19341, 06/06/1995,TRASMISION PATRIMONIAL, 23/02/2011
102,03-01-01-018-008-000,URBANO,51779,012823-1, 06/06/1995,TRASMISION PATRIMONIAL, 18/12/2023
103,03-01-01-018-009-000,URBANO,51777,12822-1, 06/06/1995,TRASMISION PATRIMONIAL, 14/06/2019
104,03-01-01-018-010-000,URBANO,51778,, 06/06/1995,TRASMISION PATRIMONIAL, 09/09/2002
105,03-01-01-018-011-000,URBANO,51776,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
106,03-01-01-018-012-000,URBANO,48242,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
107,03-01-01-018-013-000,URBANO,48242,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
108,03-01-01-018-014-000,URBANO,48241,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
109,03-01-01-018-015-000,URBANO,48243,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
110,03-01-01-018-016-000,URBANO,48244,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
111,03-01-01-018-017-000,URBANO,48245,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
112,03-01-01-018-018-000,URBANO,48246,, 06/06/1995,AVALUO CATASTRAL, 14/02/2024
113,03-01-01-018-019-000,URBANO,,, ,TRANSFERENCIA INICIAL, 24/01/2002
114,03-01-01-018-285-000,RUSTICO,,, ,AVALUO CATASTRAL, 22/02/2017
115,03-01-01-018-286-000,URBANO,,, ,TRANSFERENCIA INICIAL, 04/12/2009
116,03-01-01-019-001-000,URBANO,76754,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
117,03-01-01-019-002-000,URBANO,71044,, 06/06/1995,AVALUO CATASTRAL, 02/10/2023
118,03-01-01-019-003-000,URBANO,68220,37863-1, 06/06/1995,AVALUO CATASTRAL, 30/07/2019
119,03-01-01-019-004-000,URBANO,68222,, 06/06/1995,TRANSFERENCIA INICIAL, 06/11/2001
